mission_id,agency,mission_type,launch_date,cost_million_usd,payload_type,destination,status
27,Virgin Galactic,Asteroid Mining,1968-11-22,3205,Crewed,Moon,Failure
28,SpaceX,Mars,1961-09-18,620,Space Telescope,Deep Space,Success
29,NASA,Deep Space,2013-10-20,4428,Crewed,Asteroid Belt,Partial Success
30,Virgin Galactic,Mars,2011-04-01,1135,Rover,Moon,Partial Success
31,SpaceX,Deep Space,2010-07-16,693,Space Telescope,Deep Space,Success
32,Blue Origin,Space Tourism,1983-05-02,4215,Rover,Mars,Success
33,Blue Origin,Space Tourism,1977-10-07,1514,Satellite,Moon,Partial Success
34,Virgin Galactic,Asteroid Mining,1995-05-22,3651,Cargo,Mars,Failure
35,SpaceX,Deep Space,2010-07-05,4535,Cargo,Asteroid Belt,Success
36,Virgin Galactic,Lunar,1986-11-11,2847,Cargo,Mars,Failure
37,ISRO,Orbital,1975-05-22,1018,Crewed,Moon,Partial Success
38,ISRO,Lunar,1963-11-15,1101,Satellite,Mars,Partial Success
39,Virgin Galactic,Satellite Deployment,1985-04-09,1645,Scientific Probe,Moon,Success
40,Blue Origin,Space Tourism,1971-03-03,1976,Scientific Probe,Asteroid Belt,Failure
41,Virgin Galactic,Space Tourism,1963-11-26,81,Crewed,Moon,Success
42,NASA,Deep Space,1970-01-27,4154,Space Telescope,Low Earth Orbit,Partial Success
43,ISRO,Deep Space,2007-06-07,1839,Space Telescope,Low Earth Orbit,Success
44,ISRO,Lunar,2014-12-26,3890,Crewed,Mars,Failure
45,SpaceX,Asteroid Mining,2017-12-16,3270,Crewed,Low Earth Orbit,Failure
46,ISRO,Mars,1961-06-11,1819,Crewed,Mars,Success
47,Roscosmos,Asteroid Mining,2022-10-26,3693,Rover,Deep Space,Success
48,ISRO,Lunar,2006-07-12,4684,Space Telescope,Moon,Success
49,NASA,Satellite Deployment,1962-08-24,4098,Space Telescope,Mars,Failure
50,ESA,Mars,1995-08-17,145,Satellite,Moon,Success
51,NASA,Mars,1980-08-05,1412,Cargo,Moon,Failure
52,Blue Origin,Orbital,2021-04-07,2291,Satellite,Deep Space,Failure
53,Virgin Galactic,Satellite Deployment,2018-01-10,3154,Crewed,Moon,Partial Success
54,ISRO,Asteroid Mining,1969-02-26,4264,Cargo,Asteroid Belt,Success
55,NASA,Orbital,1986-01-20,2007,Space Telescope,Mars,Success
56,ISRO,Deep Space,1966-06-20,2802,Rover,Mars,Partial Success
57,ESA,Deep Space,1992-09-18,2983,Crewed,Mars,Success
58,SpaceX,Deep Space,1996-12-18,1372,Space Telescope,Asteroid Belt,Failure
59,ESA,Lunar,2005-02-24,1656,Satellite,Low Earth Orbit,Success
60,NASA,Satellite Deployment,2001-05-15,2748,Crewed,Deep Space,Failure
61,Blue Origin,Asteroid Mining,1980-12-22,2622,Scientific Probe,Moon,Success
62,SpaceX,Mars,1980-12-22,4410,Space Telescope,Low Earth Orbit,Failure
63,ISRO,Deep Space,2005-11-06,444,Cargo,Asteroid Belt,Partial Success
64,ISRO,Space Tourism,1982-06-21,1999,Rover,Low Earth Orbit,Failure
65,Blue Origin,Asteroid Mining,1969-04-04,530,Crewed,Deep Space,Partial Success
66,ISRO,Asteroid Mining,1972-02-13,2887,Space Telescope,Mars,Failure
67,Virgin Galactic,Asteroid Mining,1989-03-13,4438,Cargo,Mars,Success
68,SpaceX,Satellite Deployment,2008-10-04,3239,Scientific Probe,Asteroid Belt,Partial Success
69,NASA,Mars,2003-08-18,399,Scientific Probe,Low Earth Orbit,Failure
70,SpaceX,Satellite Deployment,1996-06-16,2212,Rover,Asteroid Belt,Partial Success
71,NASA,Orbital,2017-05-06,3374,Scientific Probe,Asteroid Belt,Success
72,ESA,Orbital,1997-05-24,3359,Scientific Probe,Moon,Success
73,Virgin Galactic,Satellite Deployment,1972-01-06,713,Crewed,Mars,Partial Success
74,ISRO,Mars,1975-01-28,2690,Scientific Probe,Deep Space,Failure
75,ESA,Lunar,1973-10-22,1482,Crewed,Low Earth Orbit,Partial Success
76,ISRO,Space Tourism,1999-11-06,2878,Rover,Deep Space,Success
77,SpaceX,Mars,2019-08-02,1461,Cargo,Asteroid Belt,Partial Success
78,CNSA,Deep Space,1988-09-27,4909,Scientific Probe,Deep Space,Partial Success
79,Roscosmos,Lunar,1979-04-19,2225,Satellite,Mars,Partial Success
80,SpaceX,Space Tourism,1983-04-01,4578,Crewed,Moon,Failure
81,Blue Origin,Mars,2020-06-19,2436,Cargo,Deep Space,Partial Success
82,Roscosmos,Mars,1963-12-03,3546,Satellite,Moon,Failure
83,CNSA,Deep Space,1958-10-16,203,Scientific Probe,Mars,Partial Success
84,SpaceX,Space Tourism,1987-11-08,2498,Crewed,Mars,Partial Success
85,CNSA,Space Tourism,2014-11-03,3199,Crewed,Moon,Success
86,Blue Origin,Satellite Deployment,2014-04-14,3611,Space Telescope,Moon,Success
87,ISRO,Orbital,2023-02-09,2408,Satellite,Moon,Partial Success
88,CNSA,Space Tourism,1972-02-12,253,Crewed,Mars,Partial Success
89,CNSA,Satellite Deployment,1971-04-26,4199,Cargo,Asteroid Belt,Success
90,Virgin Galactic,Asteroid Mining,1965-02-17,2374,Space Telescope,Asteroid Belt,Partial Success
91,Virgin Galactic,Deep Space,1964-04-17,2306,Satellite,Deep Space,Failure
92,ISRO,Asteroid Mining,1974-01-10,3513,Scientific Probe,Low Earth Orbit,Partial Success
93,NASA,Satellite Deployment,1975-09-22,409,Space Telescope,Deep Space,Failure
94,CNSA,Mars,2021-03-17,1513,Space Telescope,Mars,Failure
95,ESA,Deep Space,2020-01-19,4114,Crewed,Low Earth Orbit,Success
96,ESA,Mars,1960-04-25,2327,Space Telescope,Asteroid Belt,Partial Success
97,SpaceX,Orbital,2002-11-06,2134,Crewed,Mars,Success
98,CNSA,Mars,1986-02-10,4105,Rover,Low Earth Orbit,Success
99,ISRO,Orbital,2017-06-22,2632,Rover,Moon,Partial Success
100,ESA,Lunar,1979-12-20,2138,Space Telescope,Low Earth Orbit,Partial Success
101,Virgin Galactic,Asteroid Mining,2003-05-09,1195,Space Telescope,Asteroid Belt,Failure
102,CNSA,Orbital,2010-07-06,2071,Rover,Low Earth Orbit,Success
103,Roscosmos,Mars,1995-11-21,1836,Scientific Probe,Asteroid Belt,Partial Success
104,Virgin Galactic,Deep Space,2022-12-27,1835,Scientific Probe,Low Earth Orbit,Failure
105,SpaceX,Orbital,2015-12-19,3098,Cargo,Low Earth Orbit,Failure
106,Virgin Galactic,Orbital,1985-08-25,2316,Crewed,Deep Space,Success
107,Virgin Galactic,Mars,1998-05-17,3877,Crewed,Low Earth Orbit,Success
108,CNSA,Orbital,1985-12-26,2046,Satellite,Low Earth Orbit,Success
109,NASA,Mars,1957-03-17,1824,Scientific Probe,Mars,Failure
110,Blue Origin,Satellite Deployment,2004-05-07,4452,Rover,Asteroid Belt,Partial Success
111,Blue Origin,Lunar,1992-09-27,3147,Crewed,Moon,Partial Success
112,Virgin Galactic,Orbital,1966-12-23,2119,Space Telescope,Moon,Partial Success
113,NASA,Space Tourism,1964-01-13,3446,Scientific Probe,Asteroid Belt,Partial Success
114,Virgin Galactic,Deep Space,2006-01-19,2331,Rover,Asteroid Belt,Partial Success
115,SpaceX,Satellite Deployment,1980-10-15,1851,Space Telescope,Deep Space,Failure
116,SpaceX,Orbital,1967-04-28,3187,Rover,Mars,Partial Success
117,NASA,Lunar,1989-04-05,4311,Scientific Probe,Low Earth Orbit,Success
118,NASA,Satellite Deployment,1996-02-13,3946,Cargo,Asteroid Belt,Failure
119,ESA,Space Tourism,1957-10-27,2761,Scientific Probe,Low Earth Orbit,Failure
120,ISRO,Orbital,1957-01-20,230,Crewed,Deep Space,Partial Success
121,Virgin Galactic,Lunar,1968-05-14,1034,Rover,Asteroid Belt,Success
122,Virgin Galactic,Space Tourism,1970-03-27,654,Scientific Probe,Deep Space,Partial Success
123,CNSA,Mars,1974-01-15,1847,Satellite,Deep Space,Failure
124,CNSA,Mars,2000-03-08,2171,Rover,Mars,Failure
125,SpaceX,Satellite Deployment,2007-07-16,3500,Scientific Probe,Moon,Failure
126,CNSA,Deep Space,2024-03-07,1506,Crewed,Mars,Success
127,SpaceX,Space Tourism,1990-04-19,2794,Space Telescope,Asteroid Belt,Failure
128,Roscosmos,Satellite Deployment,2010-04-28,4901,Scientific Probe,Deep Space,Success
129,CNSA,Satellite Deployment,1976-04-01,3186,Scientific Probe,Deep Space,Success
130,Roscosmos,Lunar,1985-09-23,1642,Crewed,Mars,Failure
131,SpaceX,Mars,1979-11-01,3318,Scientific Probe,Deep Space,Partial Success
132,CNSA,Satellite Deployment,1984-10-19,1029,Cargo,Deep Space,Partial Success
133,SpaceX,Satellite Deployment,1992-11-07,1656,Crewed,Low Earth Orbit,Success
134,ISRO,Space Tourism,2017-04-03,865,Satellite,Deep Space,Partial Success
135,Blue Origin,Satellite Deployment,2003-04-18,3443,Scientific Probe,Low Earth Orbit,Partial Success
136,CNSA,Orbital,2006-11-09,2901,Rover,Low Earth Orbit,Success
137,Roscosmos,Orbital,1984-03-28,1795,Space Telescope,Moon,Failure
138,SpaceX,Lunar,1974-10-11,4107,Space Telescope,Mars,Failure
139,SpaceX,Space Tourism,1994-12-23,2045,Space Telescope,Low Earth Orbit,Failure
140,Blue Origin,Lunar,1985-04-27,1430,Satellite,Moon,Partial Success
141,Roscosmos,Deep Space,1980-03-04,408,Crewed,Low Earth Orbit,Partial Success
142,NASA,Deep Space,1976-04-15,3513,Rover,Deep Space,Failure
143,CNSA,Asteroid Mining,1985-03-22,727,Satellite,Moon,Success
144,CNSA,Orbital,1981-10-15,799,Crewed,Deep Space,Failure
145,Blue Origin,Lunar,1973-07-15,443,Crewed,Deep Space,Partial Success
146,Roscosmos,Space Tourism,2011-05-04,1175,Scientific Probe,Moon,Success
147,ISRO,Lunar,2004-11-18,679,Scientific Probe,Low Earth Orbit,Failure
148,ESA,Asteroid Mining,1996-05-24,3046,Space Telescope,Mars,Failure
149,NASA,Lunar,1957-02-09,2586,Space Telescope,Mars,Partial Success
150,NASA,Asteroid Mining,2011-05-20,2950,Crewed,Mars,Partial Success
151,Blue Origin,Deep Space,1980-11-12,1366,Space Telescope,Low Earth Orbit,Success
152,Blue Origin,Space Tourism,1988-10-01,4491,Rover,Moon,Partial Success
153,NASA,Orbital,2014-11-27,2193,Scientific Probe,Moon,Success
154,Roscosmos,Orbital,1983-08-02,1122,Crewed,Low Earth Orbit,Failure
155,SpaceX,Mars,2020-09-17,838,Scientific Probe,Asteroid Belt,Partial Success
156,ISRO,Satellite Deployment,1974-04-02,4711,Cargo,Moon,Success
157,SpaceX,Lunar,1996-11-15,3211,Satellite,Low Earth Orbit,Partial Success
158,Roscosmos,Mars,2023-02-24,3214,Cargo,Moon,Success
159,ISRO,Mars,1968-02-09,1982,Rover,Moon,Success
160,Roscosmos,Deep Space,2024-05-12,2989,Satellite,Deep Space,Partial Success
161,SpaceX,Space Tourism,2024-06-05,3974,Scientific Probe,Deep Space,Partial Success
162,ISRO,Space Tourism,2021-05-16,3877,Space Telescope,Low Earth Orbit,Failure
163,CNSA,Satellite Deployment,2015-10-22,3659,Satellite,Moon,Partial Success
164,NASA,Mars,1994-01-20,4065,Cargo,Mars,Failure
165,Roscosmos,Space Tourism,2021-02-15,5000,Space Telescope,Deep Space,Partial Success
166,Blue Origin,Lunar,1997-01-21,2378,Rover,Mars,Partial Success
167,ISRO,Orbital,1980-09-27,4224,Cargo,Deep Space,Failure
168,SpaceX,Asteroid Mining,2005-12-21,2079,Space Telescope,Mars,Partial Success
169,Roscosmos,Orbital,1993-01-16,4526,Scientific Probe,Moon,Failure
170,Roscosmos,Satellite Deployment,1977-02-22,3819,Space Telescope,Deep Space,Failure
171,NASA,Satellite Deployment,1958-12-27,2589,Space Telescope,Low Earth Orbit,Partial Success
172,Blue Origin,Asteroid Mining,1977-08-07,4640,Crewed,Low Earth Orbit,Failure
173,ESA,Deep Space,1957-07-07,4024,Crewed,Deep Space,Failure
174,SpaceX,Orbital,1996-03-05,3184,Space Telescope,Moon,Partial Success
175,ISRO,Orbital,1975-12-16,979,Scientific Probe,Mars,Failure
176,ESA,Orbital,1957-11-26,461,Scientific Probe,Deep Space,Failure
177,ISRO,Mars,2018-10-18,4229,Satellite,Moon,Success
178,ISRO,Mars,1982-09-15,3391,Space Telescope,Deep Space,Success
179,Virgin Galactic,Space Tourism,1990-09-17,3609,Rover,Moon,Failure
180,SpaceX,Space Tourism,2018-07-23,4679,Crewed,Moon,Success
181,Roscosmos,Orbital,2016-05-14,1693,Satellite,Low Earth Orbit,Success
182,ESA,Lunar,1982-02-11,4982,Scientific Probe,Deep Space,Partial Success
183,CNSA,Space Tourism,2020-11-22,3923,Satellite,Moon,Failure
184,ESA,Satellite Deployment,1991-09-17,1527,Crewed,Moon,Partial Success
185,SpaceX,Deep Space,1988-11-13,961,Cargo,Low Earth Orbit,Partial Success
186,ESA,Mars,1984-09-05,1169,Scientific Probe,Deep Space,Failure
187,SpaceX,Deep Space,1996-10-25,2215,Scientific Probe,Low Earth Orbit,Partial Success
188,ESA,Space Tourism,1984-04-19,783,Satellite,Mars,Success
189,Roscosmos,Mars,2016-09-21,2096,Rover,Moon,Success
190,NASA,Deep Space,2021-09-25,979,Crewed,Moon,Success
191,Roscosmos,Space Tourism,1990-02-22,3581,Crewed,Deep Space,Failure
192,CNSA,Orbital,2000-07-26,2865,Satellite,Low Earth Orbit,Partial Success
193,SpaceX,Deep Space,1986-10-08,1530,Rover,Low Earth Orbit,Partial Success
194,ISRO,Satellite Deployment,2001-10-14,3303,Crewed,Mars,Partial Success
195,Virgin Galactic,Asteroid Mining,1997-04-18,3277,Cargo,Deep Space,Partial Success
196,ESA,Deep Space,1988-08-09,3086,Crewed,Mars,Partial Success
197,Virgin Galactic,Space Tourism,2008-09-05,2390,Satellite,Mars,Partial Success
198,Roscosmos,Mars,1961-12-12,4984,Scientific Probe,Asteroid Belt,Success
199,NASA,Mars,1960-01-21,2392,Crewed,Low Earth Orbit,Partial Success
200,NASA,Space Tourism,2005-10-20,3015,Crewed,Deep Space,Partial Success
201,Roscosmos,Lunar,2004-06-14,338,Space Telescope,Deep Space,Partial Success
202,ISRO,Mars,1975-06-26,2954,Crewed,Asteroid Belt,Failure
203,ISRO,Satellite Deployment,2008-05-13,3703,Rover,Mars,Success
204,SpaceX,Space Tourism,1974-10-18,4160,Cargo,Mars,Failure
205,SpaceX,Lunar,1982-07-05,3146,Rover,Moon,Partial Success
206,Roscosmos,Deep Space,1959-10-14,4251,Scientific Probe,Deep Space,Success
207,ESA,Deep Space,2003-07-26,897,Scientific Probe,Low Earth Orbit,Failure
208,ESA,Deep Space,2006-12-13,492,Scientific Probe,Asteroid Belt,Partial Success
209,NASA,Space Tourism,1990-11-28,988,Cargo,Deep Space,Partial Success
210,Blue Origin,Satellite Deployment,1957-09-09,4640,Crewed,Asteroid Belt,Partial Success
211,NASA,Orbital,2020-09-26,2188,Scientific Probe,Moon,Success
212,Virgin Galactic,Asteroid Mining,2022-10-05,4491,Space Telescope,Moon,Success
213,ISRO,Asteroid Mining,1971-08-27,2837,Scientific Probe,Moon,Partial Success
214,Virgin Galactic,Orbital,2012-12-04,1900,Satellite,Deep Space,Partial Success
215,ESA,Lunar,1988-09-17,4368,Space Telescope,Mars,Failure
216,ESA,Space Tourism,1978-12-18,4033,Space Telescope,Mars,Failure
217,ESA,Lunar,1964-06-25,1986,Rover,Low Earth Orbit,Partial Success
218,ESA,Lunar,1995-08-06,1665,Rover,Mars,Failure
219,Virgin Galactic,Mars,1965-09-22,899,Rover,Mars,Success
220,SpaceX,Lunar,2009-03-04,1710,Scientific Probe,Low Earth Orbit,Failure
221,NASA,Space Tourism,1973-02-28,4129,Scientific Probe,Asteroid Belt,Partial Success
222,Virgin Galactic,Lunar,1973-10-16,1432,Rover,Asteroid Belt,Partial Success
223,Blue Origin,Lunar,1995-02-08,1640,Rover,Mars,Partial Success
224,ISRO,Satellite Deployment,1984-11-05,3509,Cargo,Low Earth Orbit,Success
225,Roscosmos,Mars,1994-10-26,2201,Satellite,Deep Space,Success
226,NASA,Orbital,1980-10-24,4122,Space Telescope,Asteroid Belt,Failure
227,Blue Origin,Lunar,2016-09-23,706,Crewed,Deep Space,Partial Success
228,ISRO,Satellite Deployment,1982-01-25,2368,Space Telescope,Low Earth Orbit,Partial Success
229,ESA,Lunar,1997-12-18,1741,Scientific Probe,Low Earth Orbit,Failure
230,Virgin Galactic,Asteroid Mining,1992-01-13,3202,Scientific Probe,Mars,Success
231,Virgin Galactic,Space Tourism,2018-05-24,2730,Crewed,Asteroid Belt,Failure
232,Virgin Galactic,Lunar,1995-05-18,2208,Space Telescope,Deep Space,Success
233,ESA,Lunar,1998-06-08,594,Satellite,Low Earth Orbit,Partial Success
234,CNSA,Orbital,2006-10-08,864,Rover,Deep Space,Partial Success
235,CNSA,Orbital,1976-11-11,3146,Cargo,Low Earth Orbit,Partial Success
236,ESA,Orbital,2012-06-26,2955,Rover,Low Earth Orbit,Success
237,SpaceX,Asteroid Mining,1970-09-11,4437,Crewed,Deep Space,Success
238,NASA,Orbital,2008-10-22,3345,Rover,Moon,Partial Success
239,ESA,Satellite Deployment,2005-01-21,762,Rover,Deep Space,Partial Success
240,ESA,Asteroid Mining,1996-03-25,500,Rover,Mars,Partial Success
241,SpaceX,Mars,2019-02-24,1764,Crewed,Low Earth Orbit,Success
242,CNSA,Mars,1958-01-28,2192,Rover,Mars,Success
243,ISRO,Lunar,1991-05-24,2571,Scientific Probe,Deep Space,Partial Success
244,ESA,Satellite Deployment,1973-09-25,2408,Cargo,Deep Space,Failure
245,ISRO,Space Tourism,2001-02-16,2694,Rover,Moon,Failure
246,Roscosmos,Space Tourism,2015-12-03,1129,Cargo,Low Earth Orbit,Success
247,ISRO,Space Tourism,1963-12-22,3874,Space Telescope,Mars,Partial Success
248,SpaceX,Asteroid Mining,1983-07-21,470,Cargo,Mars,Partial Success
249,Blue Origin,Space Tourism,1989-07-21,4966,Crewed,Mars,Partial Success
250,ISRO,Asteroid Mining,1978-11-06,2756,Rover,Deep Space,Failure
251,Roscosmos,Space Tourism,2012-10-05,1089,Scientific Probe,Low Earth Orbit,Failure
252,CNSA,Lunar,2004-12-24,3255,Cargo,Moon,Failure
253,ESA,Lunar,1983-05-21,891,Crewed,Moon,Partial Success
254,CNSA,Space Tourism,1977-12-06,2666,Space Telescope,Low Earth Orbit,Partial Success
255,Virgin Galactic,Lunar,1963-08-18,4253,Rover,Asteroid Belt,Failure
256,ISRO,Deep Space,2008-03-06,3152,Crewed,Deep Space,Success
257,SpaceX,Mars,2019-10-21,99,Scientific Probe,Moon,Partial Success
258,NASA,Satellite Deployment,1972-04-06,2808,Satellite,Low Earth Orbit,Partial Success
259,Blue Origin,Satellite Deployment,1985-06-14,4385,Crewed,Asteroid Belt,Failure
260,Roscosmos,Lunar,1976-03-02,2301,Space Telescope,Mars,Partial Success
261,ESA,Satellite Deployment,1978-12-08,1994,Cargo,Moon,Success
262,ISRO,Deep Space,1967-12-22,4729,Satellite,Mars,Failure
263,Virgin Galactic,Mars,1986-10-24,1031,Space Telescope,Deep Space,Failure
264,SpaceX,Mars,2019-05-22,1838,Space Telescope,Mars,Success
265,Virgin Galactic,Deep Space,1994-12-17,3061,Rover,Asteroid Belt,Success
266,Roscosmos,Mars,1993-02-16,129,Cargo,Deep Space,Success
267,Blue Origin,Asteroid Mining,1960-12-19,3887,Cargo,Mars,Failure
268,Virgin Galactic,Deep Space,1968-01-19,738,Satellite,Deep Space,Failure
269,SpaceX,Satellite Deployment,1972-04-12,4776,Space Telescope,Low Earth Orbit,Failure
270,ISRO,Orbital,1960-04-24,2036,Crewed,Moon,Partial Success
271,SpaceX,Mars,1960-04-27,4066,Crewed,Moon,Success
272,NASA,Space Tourism,1959-10-07,4935,Crewed,Asteroid Belt,Partial Success
273,ESA,Lunar,1999-01-26,1426,Scientific Probe,Deep Space,Failure
274,ESA,Satellite Deployment,1999-07-12,531,Satellite,Low Earth Orbit,Success
275,ESA,Space Tourism,1982-02-12,4930,Satellite,Moon,Success
276,Roscosmos,Orbital,2002-05-07,4637,Rover,Mars,Failure
277,Virgin Galactic,Lunar,1978-05-08,887,Satellite,Asteroid Belt,Partial Success
278,ISRO,Asteroid Mining,1958-09-03,2401,Crewed,Asteroid Belt,Failure
279,Roscosmos,Mars,1972-05-10,3776,Crewed,Deep Space,Failure
280,ISRO,Orbital,1969-08-28,4720,Satellite,Mars,Partial Success
281,Virgin Galactic,Asteroid Mining,1973-06-13,868,Crewed,Asteroid Belt,Partial Success
282,Blue Origin,Deep Space,1962-04-13,1023,Rover,Asteroid Belt,Success
283,Roscosmos,Orbital,2005-04-15,405,Satellite,Mars,Partial Success
284,NASA,Satellite Deployment,1960-11-07,3635,Satellite,Mars,Success
285,Blue Origin,Deep Space,1976-05-09,3891,Scientific Probe,Asteroid Belt,Failure
286,NASA,Deep Space,1987-03-01,234,Crewed,Low Earth Orbit,Success
287,Roscosmos,Orbital,1981-02-27,3775,Scientific Probe,Low Earth Orbit,Failure
288,Roscosmos,Mars,1976-07-24,3726,Space Telescope,Asteroid Belt,Partial Success
289,CNSA,Lunar,1965-08-28,2876,Crewed,Low Earth Orbit,Success
290,Blue Origin,Orbital,1993-07-10,153,Space Telescope,Asteroid Belt,Failure
291,ISRO,Lunar,1996-02-05,3953,Crewed,Asteroid Belt,Partial Success
292,ISRO,Mars,2003-05-28,1653,Crewed,Mars,Partial Success
293,SpaceX,Lunar,1964-10-07,4264,Space Telescope,Mars,Success
294,SpaceX,Lunar,1968-09-22,1756,Space Telescope,Asteroid Belt,Failure
295,Blue Origin,Orbital,1962-02-28,3487,Satellite,Deep Space,Success
296,SpaceX,Orbital,1990-04-22,210,Space Telescope,Low Earth Orbit,Partial Success
297,SpaceX,Lunar,2020-04-28,4886,Space Telescope,Mars,Partial Success
298,ISRO,Satellite Deployment,1980-12-06,3516,Rover,Deep Space,Success
299,Roscosmos,Asteroid Mining,1994-10-07,884,Scientific Probe,Moon,Success
300,ESA,Asteroid Mining,2003-05-20,3360,Crewed,Moon,Failure
301,NASA,Space Tourism,1986-07-03,4057,Satellite,Deep Space,Failure
302,CNSA,Satellite Deployment,2010-02-27,2088,Scientific Probe,Asteroid Belt,Partial Success
303,Blue Origin,Orbital,1959-03-07,2403,Rover,Moon,Failure
304,ESA,Mars,1982-04-05,3895,Rover,Asteroid Belt,Failure
305,NASA,Asteroid Mining,1993-11-19,2535,Crewed,Low Earth Orbit,Failure
306,NASA,Orbital,2012-08-23,1806,Space Telescope,Mars,Success
307,CNSA,Space Tourism,1998-07-23,4273,Crewed,Asteroid Belt,Failure
308,Roscosmos,Space Tourism,1965-03-07,1365,Space Telescope,Deep Space,Success
309,CNSA,Mars,1966-07-26,2436,Space Telescope,Asteroid Belt,Partial Success
310,NASA,Space Tourism,1963-06-27,473,Scientific Probe,Mars,Success
311,ESA,Lunar,1971-04-26,3421,Satellite,Low Earth Orbit,Failure
312,Roscosmos,Lunar,1957-04-10,4977,Cargo,Mars,Success
313,NASA,Mars,2015-09-10,4262,Rover,Low Earth Orbit,Failure
314,NASA,Mars,1988-01-06,822,Rover,Mars,Failure
315,Blue Origin,Satellite Deployment,1985-12-10,1345,Crewed,Deep Space,Failure
316,ESA,Asteroid Mining,1964-08-03,2365,Rover,Moon,Failure
317,Virgin Galactic,Orbital,2019-01-06,4434,Satellite,Moon,Success
318,ESA,Lunar,1986-05-23,3411,Satellite,Deep Space,Success
319,ISRO,Space Tourism,2019-12-23,4394,Scientific Probe,Mars,Partial Success
320,Blue Origin,Orbital,2015-04-15,3360,Scientific Probe,Mars,Partial Success
321,ISRO,Asteroid Mining,1994-04-04,2941,Scientific Probe,Low Earth Orbit,Failure
322,ESA,Space Tourism,2019-05-06,2418,Crewed,Moon,Partial Success
323,Blue Origin,Space Tourism,1964-07-26,1823,Cargo,Mars,Partial Success
324,ISRO,Space Tourism,2015-11-18,2656,Cargo,Deep Space,Partial Success
325,ESA,Deep Space,2007-01-26,3159,Rover,Low Earth Orbit,Partial Success
326,ESA,Mars,1974-11-17,1570,Scientific Probe,Asteroid Belt,Failure
327,NASA,Space Tourism,1974-05-13,3679,Cargo,Moon,Failure
328,Roscosmos,Deep Space,2008-07-15,1781,Crewed,Asteroid Belt,Success
329,Roscosmos,Satellite Deployment,1983-01-02,333,Crewed,Moon,Success
330,CNSA,Lunar,2007-05-01,4255,Rover,Deep Space,Partial Success
331,ESA,Space Tourism,1970-10-01,749,Satellite,Asteroid Belt,Failure
332,Roscosmos,Space Tourism,2013-08-22,2175,Rover,Low Earth Orbit,Failure
333,NASA,Asteroid Mining,1970-08-19,1593,Rover,Asteroid Belt,Success
334,Blue Origin,Deep Space,2006-10-09,692,Satellite,Asteroid Belt,Failure
335,SpaceX,Orbital,1989-11-23,1007,Rover,Moon,Success
336,Blue Origin,Asteroid Mining,1999-02-01,3729,Satellite,Mars,Success
337,NASA,Space Tourism,1987-09-22,1955,Rover,Asteroid Belt,Success
338,Virgin Galactic,Orbital,1985-08-20,1292,Scientific Probe,Moon,Failure
339,Virgin Galactic,Mars,2020-11-19,3268,Satellite,Mars,Failure
340,ESA,Mars,2001-06-13,477,Scientific Probe,Moon,Success
341,Blue Origin,Satellite Deployment,1995-06-03,785,Crewed,Mars,Failure
342,CNSA,Orbital,2021-12-23,1544,Space Telescope,Asteroid Belt,Partial Success
